DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
10/05/2018,1028.87,VNIndex,1058.22,1059.34,1025.75,143626080.0
09/05/2018,1056.97,VNIndex,1058.33,1069.80,1051.79,125896530.0
08/05/2018,1060.45,VNIndex,1061.12,1072.28,1057.24,131146470.0
07/05/2018,1062.26,VNIndex,1034.64,1062.26,1028.79,122128310.0
04/05/2018,1026.80,VNIndex,1032.12,1037.02,1022.10,125862200.0
03/05/2018,1026.46,VNIndex,1018.47,1027.38,1003.79,170959320.0
02/05/2018,1029.08,VNIndex,1053.26,1053.52,1024.75,151711850.0
27/04/2018,1050.26,VNIndex,1037.36,1054.94,1031.89,152853910.0
26/04/2018,1044.86,VNIndex,1082.52,1082.52,1039.35,184919930.0
24/04/2018,1080.74,VNIndex,1064.86,1084.89,1048.68,166004870.0
23/04/2018,1076.78,VNIndex,1124.33,1127.24,1076.78,194901680.0
20/04/2018,1119.86,VNIndex,1095.84,1119.86,1078.01,142780270.0
19/04/2018,1094.63,VNIndex,1137.99,1137.99,1094.63,183841740.0
18/04/2018,1138.53,VNIndex,1157.67,1160.32,1138.42,152174130.0
17/04/2018,1153.28,VNIndex,1149.02,1156.70,1139.33,139854490.0
16/04/2018,1148.49,VNIndex,1156.54,1159.45,1141.81,138666630.0
13/04/2018,1157.14,VNIndex,1178.57,1181.52,1153.93,156898440.0
12/04/2018,1173.02,VNIndex,1162.48,1173.02,1153.64,168958120.0
11/04/2018,1167.11,VNIndex,1201.51,1202.46,1167.11,245785470.0
10/04/2018,1198.12,VNIndex,1207.62,1211.34,1192.22,246566650.0
09/04/2018,1204.33,VNIndex,1202.44,1207.45,1197.44,222920660.0
06/04/2018,1199.96,VNIndex,1194.15,1202.59,1194.15,217719530.0
05/04/2018,1193.17,VNIndex,1197.76,1199.15,1186.75,186567260.0
04/04/2018,1191.54,VNIndex,1194.26,1200.71,1189.46,194006930.0
03/04/2018,1188.29,VNIndex,1197.00,1199.93,1185.83,217626820.0
02/04/2018,1196.61,VNIndex,1180.26,1196.61,1179.73,221037550.0
30/03/2018,1174.46,VNIndex,1169.29,1175.36,1158.49,150318960.0
29/03/2018,1167.03,VNIndex,1174.73,1176.45,1164.12,150321430.0
28/03/2018,1172.24,VNIndex,1168.87,1179.18,1165.71,165131520.0
27/03/2018,1171.73,VNIndex,1187.42,1187.42,1169.58,201305790.0
26/03/2018,1171.22,VNIndex,1150.51,1176.95,1150.51,175879690.0
23/03/2018,1153.59,VNIndex,1154.25,1157.20,1138.53,237107530.0
22/03/2018,1172.36,VNIndex,1175.22,1180.44,1169.48,215497530.0
21/03/2018,1169.36,VNIndex,1166.51,1172.31,1163.91,212812970.0
20/03/2018,1159.39,VNIndex,1154.48,1166.33,1154.48,189756080.0
19/03/2018,1159.22,VNIndex,1158.16,1165.63,1155.82,221555290.0
16/03/2018,1150.19,VNIndex,1144.54,1152.52,1140.56,260196900.0
15/03/2018,1138.76,VNIndex,1134.51,1140.74,1129.66,207105860.0
14/03/2018,1138.09,VNIndex,1135.99,1142.88,1134.55,222436340.0
13/03/2018,1133.31,VNIndex,1126.53,1133.31,1118.49,208112910.0
12/03/2018,1126.29,VNIndex,1135.37,1135.48,1123.98,197146780.0
09/03/2018,1123.41,VNIndex,1128.73,1135.02,1119.18,205512360.0
08/03/2018,1124.15,VNIndex,1112.24,1126.35,1111.76,186579760.0
07/03/2018,1112.26,VNIndex,1121.99,1126.67,1103.29,239942030.0
06/03/2018,1120.29,VNIndex,1093.48,1120.29,1091.67,210241820.0
05/03/2018,1093.48,VNIndex,1129.92,1132.69,1093.48,252795970.0
02/03/2018,1121.21,VNIndex,1103.16,1121.91,1103.16,188043270.0
01/03/2018,1115.79,VNIndex,1118.13,1129.30,1110.92,207156270.0
28/02/2018,1121.54,VNIndex,1110.30,1129.89,1109.89,213347390.0
27/02/2018,1119.61,VNIndex,1124.03,1124.03,1106.77,175305260.0
26/02/2018,1114.53,VNIndex,1115.90,1127.57,1114.06,221574620.0
23/02/2018,1102.85,VNIndex,1086.81,1102.85,1081.31,177049320.0
22/02/2018,1076.03,VNIndex,1080.77,1091.62,1074.27,185011630.0
21/02/2018,1087.15,VNIndex,1073.33,1092.65,1070.43,165043220.0
13/02/2018,1059.73,VNIndex,1053.31,1060.48,1052.86,157958690.0
12/02/2018,1041.79,VNIndex,1011.64,1041.79,1011.64,162098570.0
09/02/2018,1003.94,VNIndex,991.09,1003.94,973.78,199516810.0
08/02/2018,1023.25,VNIndex,1031.46,1039.61,1023.25,161025060.0
07/02/2018,1040.55,VNIndex,1040.53,1048.54,1034.13,208749250.0
06/02/2018,1011.60,VNIndex,1026.08,1026.08,983.06,364437550.0
05/02/2018,1048.71,VNIndex,1089.62,1090.88,1048.71,248154720.0
02/02/2018,1105.04,VNIndex,1098.66,1105.04,1091.06,172601930.0
01/02/2018,1099.67,VNIndex,1111.74,1111.74,1090.25,233072190.0
31/01/2018,1110.36,VNIndex,1112.23,1128.10,1104.98,312880930.0
30/01/2018,1110.56,VNIndex,1099.98,1110.56,1092.44,287489730.0
29/01/2018,1109.80,VNIndex,1121.78,1130.10,1109.80,263321700.0
26/01/2018,1115.64,VNIndex,1119.78,1123.83,1103.06,261062660.0
25/01/2018,1104.57,VNIndex,1098.44,1117.08,1098.44,445940510.0
22/01/2018,1087.42,VNIndex,1066.86,1088.05,1066.61,246215500.0
19/01/2018,1062.07,VNIndex,1054.33,1067.21,1053.37,279706010.0
18/01/2018,1050.25,VNIndex,1028.76,1050.25,1020.01,256859550.0
17/01/2018,1034.69,VNIndex,1061.98,1064.77,1034.69,294301610.0
16/01/2018,1062.96,VNIndex,1059.36,1065.39,1052.43,294792490.0
15/01/2018,1063.47,VNIndex,1049.91,1063.47,1043.15,256567310.0
12/01/2018,1050.11,VNIndex,1050.17,1057.88,1046.38,320836070.0
11/01/2018,1048.17,VNIndex,1037.03,1049.73,1031.13,288550670.0
10/01/2018,1038.11,VNIndex,1034.64,1045.63,1033.01,341600970.0
09/01/2018,1033.56,VNIndex,1027.14,1033.56,1017.86,290482980.0
08/01/2018,1022.90,VNIndex,1011.36,1022.90,1004.89,236387900.0
05/01/2018,1012.65,VNIndex,1020.34,1020.60,1010.65,267882440.0
04/01/2018,1019.75,VNIndex,1009.37,1019.75,1009.00,235427380.0
03/01/2018,1005.67,VNIndex,999.86,1010.21,998.41,212755670.0
02/01/2018,995.77,VNIndex,986.05,996.18,984.34,173125210.0
29/12/2017,984.24,VNIndex,978.39,990.10,976.33,180964800.0
28/12/2017,976.72,VNIndex,970.63,978.65,967.73,143944680.0
27/12/2017,968.46,VNIndex,969.72,972.60,965.18,177748110.0
26/12/2017,965.93,VNIndex,960.32,965.93,957.24,134417650.0
25/12/2017,958.31,VNIndex,954.28,958.57,952.41,116082960.0
22/12/2017,952.32,VNIndex,947.54,952.70,945.18,146008550.0
21/12/2017,946.06,VNIndex,949.45,957.56,946.06,146788730.0
20/12/2017,953.51,VNIndex,945.12,958.82,945.12,174376230.0
19/12/2017,951.42,VNIndex,961.03,963.01,951.25,206933350.0
18/12/2017,958.06,VNIndex,945.90,958.06,945.90,226365940.0
15/12/2017,935.16,VNIndex,933.63,939.57,932.96,229584110.0
14/12/2017,935.85,VNIndex,925.51,936.29,923.99,154262610.0
13/12/2017,924.40,VNIndex,932.05,932.48,922.97,127047580.0
12/12/2017,927.25,VNIndex,927.67,931.12,895.73,225246300.0
11/12/2017,917.45,VNIndex,930.17,936.93,917.45,170105480.0
08/12/2017,940.16,VNIndex,938.41,944.75,930.29,153106250.0
07/12/2017,938.65,VNIndex,950.23,954.24,932.68,162853390.0
06/12/2017,947.64,VNIndex,950.21,950.72,932.64,225172150.0
05/12/2017,953.30,VNIndex,972.28,974.80,953.30,237663970.0
04/12/2017,970.02,VNIndex,962.47,972.53,962.47,253286410.0
01/12/2017,960.33,VNIndex,952.76,960.33,952.76,204845390.0
30/11/2017,949.93,VNIndex,956.17,960.11,949.93,225052010.0
29/11/2017,952.14,VNIndex,943.46,952.14,940.40,206121930.0
28/11/2017,941.21,VNIndex,939.10,943.45,933.59,323706840.0
27/11/2017,938.61,VNIndex,933.38,947.06,931.29,225989050.0
24/11/2017,935.57,VNIndex,930.52,937.54,924.65,199758010.0
23/11/2017,933.70,VNIndex,938.31,943.15,927.00,205435150.0
22/11/2017,932.66,VNIndex,921.13,932.66,921.13,181455380.0
21/11/2017,918.30,VNIndex,907.51,929.89,907.51,207576000.0
20/11/2017,903.55,VNIndex,890.34,903.55,889.55,145015010.0
17/11/2017,890.69,VNIndex,893.99,898.11,886.86,168088500.0
16/11/2017,892.80,VNIndex,880.17,892.80,880.17,169624640.0
15/11/2017,882.59,VNIndex,877.65,884.83,876.60,162193450.0
14/11/2017,880.90,VNIndex,881.15,884.14,874.74,168957930.0
13/11/2017,879.34,VNIndex,871.70,879.34,871.70,189223330.0
10/11/2017,868.21,VNIndex,859.91,869.37,859.24,150463680.0
09/11/2017,860.40,VNIndex,862.38,864.20,858.16,142874820.0
08/11/2017,859.70,VNIndex,853.15,863.07,852.32,147296730.0
07/11/2017,850.33,VNIndex,850.20,854.60,847.88,150836950.0
06/11/2017,849.09,VNIndex,846.12,849.09,843.76,128405430.0
03/11/2017,843.73,VNIndex,833.16,843.73,831.58,149701990.0
02/11/2017,833.09,VNIndex,842.19,849.53,833.09,174440020.0
01/11/2017,842.71,VNIndex,838.75,842.88,838.01,154993610.0
31/10/2017,837.28,VNIndex,844.27,845.93,837.28,159926430.0
30/10/2017,845.20,VNIndex,842.92,849.30,842.92,162129150.0
27/10/2017,840.37,VNIndex,829.15,840.37,828.45,125941130.0
26/10/2017,830.11,VNIndex,829.94,834.67,823.92,166974910.0
25/10/2017,830.69,VNIndex,826.08,830.69,822.83,120610410.0
24/10/2017,825.24,VNIndex,818.08,825.24,814.92,141570200.0
23/10/2017,820.04,VNIndex,826.25,827.24,818.81,194440930.0
20/10/2017,826.84,VNIndex,827.93,833.57,826.84,175594060.0
19/10/2017,828.93,VNIndex,828.89,831.61,825.50,143640120.0
18/10/2017,827.72,VNIndex,829.43,831.15,826.72,183072810.0
17/10/2017,828.29,VNIndex,819.51,828.29,819.43,162264680.0
16/10/2017,819.43,VNIndex,821.54,823.85,819.43,149580780.0
13/10/2017,820.95,VNIndex,814.60,820.95,814.20,141204400.0
12/10/2017,815.87,VNIndex,814.43,818.44,813.72,136859420.0
11/10/2017,813.95,VNIndex,811.20,815.11,811.20,162513710.0
10/10/2017,810.65,VNIndex,808.43,810.65,806.30,138184800.0
09/10/2017,808.96,VNIndex,809.61,810.75,806.78,129146140.0
06/10/2017,807.80,VNIndex,805.70,808.13,803.81,119935950.0
05/10/2017,805.23,VNIndex,806.56,810.54,805.22,139251920.0
04/10/2017,805.66,VNIndex,797.39,805.66,797.00,109372380.0
03/10/2017,798.00,VNIndex,803.98,804.39,795.05,148218410.0
02/10/2017,802.23,VNIndex,805.29,808.09,801.70,101196300.0
29/09/2017,804.42,VNIndex,805.07,808.77,804.42,124224690.0
28/09/2017,804.82,VNIndex,803.10,810.35,803.10,161949260.0
27/09/2017,803.77,VNIndex,803.32,805.04,801.74,142029330.0
26/09/2017,805.35,VNIndex,806.40,806.84,801.66,155559280.0
25/09/2017,805.58,VNIndex,806.90,807.64,802.23,126085700.0
22/09/2017,807.13,VNIndex,805.15,808.16,803.94,150381610.0
21/09/2017,803.93,VNIndex,805.29,806.52,802.60,130767410.0
20/09/2017,805.86,VNIndex,806.88,807.51,803.33,137443940.0
19/09/2017,805.93,VNIndex,807.41,810.13,805.87,160487610.0
18/09/2017,807.87,VNIndex,808.51,809.39,805.37,167579320.0
15/09/2017,805.82,VNIndex,803.35,805.82,802.08,142760690.0
14/09/2017,806.32,VNIndex,803.34,807.29,803.23,139352800.0
13/09/2017,802.78,VNIndex,802.85,804.38,800.39,139692830.0
12/09/2017,799.94,VNIndex,795.53,801.01,794.88,133449030.0
11/09/2017,797.47,VNIndex,801.20,805.44,797.47,138929970.0
08/09/2017,801.20,VNIndex,797.98,802.90,797.82,122071810.0
07/09/2017,796.72,VNIndex,793.61,798.58,792.77,143540810.0
06/09/2017,793.55,VNIndex,792.16,793.82,788.89,144147770.0
05/09/2017,792.31,VNIndex,790.26,794.46,787.80,153091050.0
01/09/2017,788.73,VNIndex,784.42,789.19,784.18,137914410.0
31/08/2017,782.76,VNIndex,779.19,785.78,778.19,191640520.0
30/08/2017,778.65,VNIndex,774.31,778.65,773.85,193496470.0
29/08/2017,774.03,VNIndex,773.91,777.11,773.87,255981300.0
28/08/2017,777.26,VNIndex,771.81,777.26,770.51,240572610.0
25/08/2017,771.63,VNIndex,769.07,771.63,768.57,218265430.0
24/08/2017,769.77,VNIndex,766.48,771.65,764.64,208905050.0
23/08/2017,765.98,VNIndex,762.42,765.98,759.01,152531930.0
22/08/2017,761.26,VNIndex,768.20,768.44,760.30,145570650.0
21/08/2017,768.79,VNIndex,767.42,769.71,765.95,152284410.0
18/08/2017,768.97,VNIndex,762.82,770.79,762.46,162337400.0
17/08/2017,767.59,VNIndex,773.48,774.47,767.59,220817310.0
16/08/2017,773.57,VNIndex,771.10,773.57,766.80,156131920.0
15/08/2017,771.06,VNIndex,776.64,776.83,770.09,145550720.0
14/08/2017,776.17,VNIndex,770.65,776.42,770.65,159668260.0
11/08/2017,772.08,VNIndex,771.86,774.31,769.14,156752670.0
10/08/2017,773.43,VNIndex,769.58,776.77,769.58,178275390.0
09/08/2017,773.66,VNIndex,789.15,789.15,773.66,292795000.0
08/08/2017,791.57,VNIndex,795.80,796.62,789.84,213526640.0
07/08/2017,792.98,VNIndex,789.41,796.09,788.66,210236060.0
04/08/2017,788.68,VNIndex,789.46,790.12,786.09,189688130.0
03/08/2017,788.49,VNIndex,786.19,790.82,786.19,195378820.0
